Atributo1,Atributo2,Atributo3,Atributo4
336,2545,80,2181
4933,4909,1118,3106
4243,2231,469,2727
4683,3379,1200,3497
1836,3099,854,3708
2134,4655,1509,3528
3992,1999,3250,4710
1809,2540,4128,1298
3113,4015,413,421
2304,3685,4316,3564
3794,3688,2860,468
1211,1569,2945,2170
3801,544,4915,1782
4689,710,1564,331
4340,3594,1246,1045
40,3853,1969,3967
176,711,195,1846
2961,610,1034,217
32,2940,2734,597
629,3715,921,555
2311,871,1514,4670
1454,718,1579,966
4485,442,2664,4176
141,725,1068,2700
4028,4714,1536,2036
2275,2723,3678,1327
2990,4922,3933,3380
845,4893,2544,2157
1433,2651,4740,1617
3743,4177,4607,2287
4500,4891,3830,940
302,912,3519,1204
1540,1865,112,4310
3325,3249,4291,1888
214,2452,2434,1484
644,2705,1678,4425
4667,2125,1105,1439
2362,1377,1949,1831
1368,4994,3916,3088
4022,283,3006,4375
2457,1394,2607,497
2562,1550,1035,1330
1636,2416,1524,4981
1249,2155,1504,4416
4162,3347,3791,2422
649,197,327,2374
3021,3739,1748,4540
2347,4936,2360,1931
1195,1322,4594,1887
1472,1911,1619,3886
3593,1861,4894,1023
1584,1622,896,1082
2301,3692,4292,3480
997,1690,1324,2111
4003,1466,202,3781
4408,713,2748,2985
3027,3622,2358,856
956,462,2611,1941
1798,3461,1020,4647
4355,2804,2601,4558
4953,2041,846,2034
2577,1208,3570,1124
1790,3604,2013,1329
2862,3666,3624,714
4799,2343,2031,1935
4303,476,4870,2098
1291,4092,573,3185
1628,699,730,2212
4554,150,3959,4491
33,3783,1274,2295
4514,3283,3935,2370
2740,45,2767,3957
1205,3990,1542,924
3406,3962,2118,1921
1152,4436,3535,1423
2488,879,330,959
1953,4838,4660,174
3774,3672,3043,2658
2180,4400,2766,3804
1997,4184,3133,4399
3845,1224,1180,2526
2770,3144,4644,2465
2430,1339,4134,1647
3066,1252,1927,3012
3681,4168,2922,4006
741,3883,4639,2504
946,3343,3704,4419
3295,4464,3392,578
1235,3085,1482,3391
3515,1251,4020,4496
206,2842,482,4678
1016,3954,572,3870
1003,2930,771,4492
636,3988,1314,2405
1533,2253,767,2061
4596,1995,1256,2281
78,3452,1823,2878
949,4614,4394,1086
2565,2746,838,1128
1718,2578,4611,1665
595,2222,365,1428
4674,152,4673,4635
780,4615,2666,2615
4875,2064,81,398
770,1669,3748,1811
1015,3350,2463,3829
4036,2998,2681,118
2314,2078,3305,2102
4725,1695,386,1802
2731,3263,1498,3236
2678,3809,824,740
3081,3907,2660,3961
1553,2162,3267,4052
1559,1476,651,3352
2439,2969,3209,2950
4314,4847,755,4549
2859,1515,1382,1747
1337,1248,4439,4423
738,4076,4236,1683
2272,4118,2855,3358
3252,4957,1006,3793
3679,905,2456,695
3096,3462,4959,3555
802,4798,3130,396
2145,1011,3117,109
3277,2960,2714,4823
2186,2829,1932,843
1566,2022,1228,3433
3536,436,1699,776
2897,1676,348,2332
3230,1914,3816,4311
4127,3183,4475,1615
3119,2285,3468,2936
2150,2316,2299,539
2509,1901,2745,467
87,251,4784,256
234,2639,156,4145
2359,2478,1187,4495
1824,2823,666,459
4841,72,1132,3306
2194,4570,706,4542
1621,3314,4661,1838
1172,4986,299,1007
102,4483,2477,131
1912,4094,2454,653
3273,306,4266,550
4216,3415,4167,2671
2255,4048,230,4438
3286,474,4346,2088
2779,1041,4914,96
3299,1736,127,4010
2721,4011,2020,1044
3260,3311,1933,557
4323,2690,1964,3008
3616,3371,4599,3732
2364,3913,3946,3084
4810,4623,4697,493
707,4288,655,2553
1987,1724,1345,4517
168,2497,641,2638
3780,2595,3545,4499
2618,2738,2742,3998
556,2421,3454,3268
2549,536,3032,1321
566,4466,64,2215
2446,3764,1216,4619
1556,815,876,4151
4379,3936,3417,3069
2708,2520,2107,3383
1103,2250,2435,3682
2474,3505,3210,2764
3938,2863,4819,819
4869,939,3274,2355
3418,4275,3339,929
1879,1712,2814,1303
4214,2470,624,892
1435,4908,4023,1857
4317,3398,642,4866
2848,2516,600,85
4901,645,1849,1640
2673,1207,4809,4143
4928,1049,3893,4068
208,4948,2915,1884
588,478,3405,1297
2282,2238,1730,1088
4000,3662,2506,4907
2466,3484,2341,2007
2724,4684,290,4398
3699,3440,3900,3482
3126,3843,2052,4456
744,1910,723,3070
407,352,2743,3792
4669,2413,4671,2049
364,1503,1629,1215
2663,2821,1595,3013
2867,4240,861,1190
3365,355,2888,2161
48,2296,1541,3198
4104,334,3574,4651
3875,3532,253,2555
1236,3984,4970,3234
1392,4787,3037,783
968,4626,3597,1538
2415,3766,2625,42
1571,2130,2386,2352
3294,4505,3485,219
1525,1578,3861,429
2691,2876,1457,3866
4363,863,3857,3412
1743,1146,2626,4277
4562,3477,4124,648
3997,1091,4721,4037
4640,745,1386,1173
3939,1464,2839,123
2008,4771,1096,4202
3147,858,1613,420
3617,3221,41,3310
4191,1832,4755,2901
4368,1059,2564,4322
3048,1835,1376,4567
4302,1529,4404,400
4576,1275,2499,3521
3091,2693,1723,374
1896,3082,2136,615
4365,1956,3248,4482
508,4569,4174,758
3102,1749,3276,2991
2648,2252,4694,2289
2808,1565,682,4998
1332,3613,4858,2361
4025,2178,53,887
3831,75,4979,1759
3240,3948,1137,2460
4773,271,1365,2633
3016,2783,1483,4074
4863,3627,2288,341
1919,382,1486,1675
4259,3838,4973,1808
973,51,3965,4645
1143,1500,3042,2652
2116,3659,11,443
1165,2780,4566,954
4272,3544,3342,747
1250,265,625,3393
4507,974,3473,3676
441,3878,1186,3156
95,4414,3492,1244
4478,4631,2834,4602
2792,4975,3821,92
3007,4884,1616,4230
1127,3067,1398,457
361,3776,1518,943
2791,1893,1952,795
4129,3455,4102,2992
1148,1526,3551,2428
2344,2147,3653,3856
1806,2345,3332,4445
3922,3301,3169,3403
1770,4415,722,1720
2713,4027,3128,4990
4012,646,4744,4595
3762,3663,1260,2796
1870,4063,1978,2104
2704,4344,4960,4662
4844,1262,2981,712
3289,3483,4161,3302
3031,4050,4837,4613
1286,106,4142,4688
2877,1063,2905,4083
1017,2153,2630,1279
4630,2645,2937,2949
825,3579,4218,3145
147,3565,416,4406
4056,1357,2512,4299
1597,1427,1612,440
4469,4898,1107,2172
1005,3471,4060,1429
3670,1976,2947,867
4609,2025,1284,2787
3576,4977,3787,1112
1671,2560,1543,3045
312,4892,1760,3981
998,1131,487,3
510,4881,3369,1219
3824,4229,1153,3972
4774,4815,4707,2782
445,4396,2356,1438
4968,2793,2055,4534
2234,3317,3751,2012
1761,2159,347,1409
2033,1825,1984,4146
1715,4765,3753,735
4282,1019,1356,3969
266,1278,4428,3841
2372,3000,4829,4287
1352,4636,4220,635
1958,2267,4622,2308
3779,1576,3934,2303
260,3094,4407,2621
2977,3836,1351,886
423,4264,599,1848
3166,2274,3340,3590
4459,3834,4531,4071
2973,410,3078,2634
1691,568,4842,113
1771,4182,1109,4268
4675,2687,3898,4412
1057,1589,4593,4369
1531,888,4643,84
1728,68,4378,1939
2191,2302,1881,2755
4727,3888,27,4739
304,119,4565,368
773,1681,2437,2840
371,4032,607,3421
2729,2906,3291,737
2030,2730,3713,931
1585,169,4502,1451
2614,3562,2737,4429
1142,3050,1776,1716
2164,1557,1729,1418
848,3902,18,3865
4555,1586,1886,1948
16,114,4621,2192
4235,1364,473,245
31,1773,614,3906
1592,4154,1652,184
4140,1008,964,4018
3055,716,4042,2071
4516,2475,2826,2605
4397,1307,136,2728
2649,122,4816,3923
4786,3569,4110,546
2115,2035,582,4811
4213,585,1812,1721
2624,2931,157,3051
4729,2669,1611,1850
4879,1113,2248,4807
3646,164,1598,632
86,4736,792,782
2882,2527,1302,2613
2566,4171,4329,2788
3586,1325,3876,2975
2023,2048,4109,3373
4189,1485,2752,2546
766,3426,3942,4352
4598,2596,4324,611
3970,4584,4298,2850
2123,4383,2813,3629
4111,280,1126,878
3557,2075,1245,315
928,4186,434,1294
1645,1050,750,3694
2735,2563,4824,2706
4937,748,3978,513
2801,4373,4231,3904
3204,2857,1795,4465
4333,3641,2654,4913
3203,104,688,2599
1237,4067,4180,4082
2018,1147,3949,3402
1414,4251,4557,503
3785,3652,1959,1058
224,3395,2774,1900
1104,2283,4030,4289
3820,671,754,3684
514,788,4931,4120
910,1384,182,1928
4033,4656,4868,4966
2733,1754,821,1951
603,694,2886,4103
4484,2701,3478,1362
2684,1608,220,552
1122,3327,3022,3944
3746,3897,1758,3546
3896,1560,3880,4571
4921,59,318,228
2694,3407,1232,3298
1784,1021,244,828
3833,916,911,3517
2709,1090,2318,1596
2657,1854,3851,4458
3304,4278,2108,3447
2682,2763,1602,49
3756,1202,263,1458
3700,3441,4307,3002
1582,1522,3582,2424
1372,3213,4830,437
1843,2502,17,2619
117,2753,1032,4239
293,1977,759,145
3182,1682,2933,4413
1295,1388,4855,1164
3241,512,2073,3192
2490,1426,303,818
1448,3661,2028,47
2517,4625,567,4709
3056,4099,1054,3507
1231,1973,4072,2441
2537,4918,3632,2187
984,3157,2002,4432
3917,3615,3687,1039
1864,3161,1374,1309
2236,4381,4321,4034
1751,2229,2670,1867
4170,945,3930,4854
2105,885,2154,4546
3504,4524,3486,3814
1737,1534,4271,2420
2837,259,2266,4065
163,4983,2394,3319
852,1065,2956,571
4410,3738,1347,3344
3269,1646,404,2909
4659,2381,6,4763
673,1101,1116,4470
3827,3206,2702,1028
2530,4002,2193,1319
2505,3498,1139,2451
3256,2525,4572,1670
3139,4013,483,742
919,3968,2543,431
2017,4679,1025,3222
684,3026,1521,4219
3583,4687,4305,1738
455,3599,1306,870
126,3120,1076,2010
276,1247,1920,1494
4825,1455,2246,2500
4135,980,1400,377
4872,395,3596,662
3460,3490,82,3539
76,4194,1220,4805
4238,1358,1033,834
2744,4183,1788,1169
2871,2054,4081,3362
1217,4221,286,1851
2786,3558,2450,4556
1573,4955,4793,979
2121,4782,4761,4376
97,247,963,1389
2174,647,2203,4715
3623,490,702,1781
3905,1732,4304,808
1138,2952,1552,4361
1353,1130,179,3098
1385,1674,638,3799
4896,4254,3093,898
1797,958,3104,1829
2798,4201,3479,3324
2487,3511,598,1254
4813,950,3328,1890
2401,316,942,633
2453,3719,2003,2210
3074,2060,3226,637
1614,4941,1133,2298
2797,3080,2521,25
3717,148,4150,2328
24,3966,2201,4618
4467,3611,2880,777
270,2110,2668,20
1853,291,4767,4650
3040,3637,1071,2665
3038,3323,2124,4387
3179,3625,4031,435
3296,2414,2103,1742
4563,3233,3397,309
4817,4004,1765,4442
2094,2086,3844,4776
4190,2334,1547,2604
1694,103,3281,1731
3017,1638,2319,4932
976,4923,2924,1269
3537,4232,2715,3742
2883,1607,4132,680
3011,4947,4632,4620
2084,1199,1772,2168
2351,3422,693,3626
26,4506,4075,2609
4789,4589,50,2865
3313,2762,4935,4319
403,2117,630,2297
4350,873,1099,3044
1653,1516,3219,4905
960,477,3989,2917
71,1994,4130,2445
3075,2494,181,4597
4685,55,859,4234
593,596,1804,4638
1367,2653,2927,1238
4481,1762,1292,2904
4521,874,4889,4446
499,1181,3077,1453
4301,1523,2667,3499
4843,559,4211,1753
1626,4460,4019,2817
1895,4882,4769,1880
1908,1493,124,705
3430,1828,212,3825
1100,3434,3635,2849
101,627,2331,390
1517,895,2398,2579
3278,2227,520,1698
337,3971,3647,1159
3003,4900,2317,2815
1056,1456,4489,4783
4327,3496,540,3518
3129,3595,60,952
186,851,4560,4085
4903,1273,4741,3254
3103,360,2395,3101
4682,2529,1599,243
3874,3873,373,1119
1459,4339,3326,2171
3573,3090,2037,1087
2955,3394,2726,3529
3903,3823,4628,3368
2419,1487,3952,1801
733,3689,376,2408
4943,3510,4119,760
4008,3425,3271,3534
978,46,1301,3109
2208,4434,2211,1085
7055505,5334287,5795228,2895695
3019550,7747424,140275,7607260
8144919,7090408,453623,4140385
8626208,7904821,3735424,9619536
8714472,562463,9495572,3640250
5248732,7671140,535139,5924623
4687054,2981724,6227005,6478247
2638003,2793492,8298034,8246039
5891671,9860934,9109652,2268737
6951186,9800035,2439389,5338777
1063786,9994146,6761791,157137
5751881,1000612,1030316,7988864
2844874,456587,2957799,3820169
3009775,9485716,9798296,4013803
2782872,1604499,1628299,6465907
4100791,4127727,7127334,3262129
6331826,2075690,1860216,5833632
807238,4579769,9057308,2613756
7852144,3789088,2896721,9193779
6317461,6276458,4284621,979828
5610445,6944884,9137185,8348189
226389,5433652,9161649,4302668
6779509,5024589,5137424,4629854
3534791,4048401,2697389,556029
2438527,9790782,609256,3902975
3650018,4898998,1556715,4744644
2572751,6287556,5420748,1563106
9385458,6545029,5060923,3904775
1073842,7839975,4596462,7536906
5960986,8327319,187681,2103765
739625,1054616,3317011,1282586
2512,5367987,6570584,5440185
8274136,819027,1919305,6789166
4542133,3570295,1499895,7043987
9287867,5302172,896505,7577317
4018480,4618797,4921707,2076352
3297426,954381,5897967,1698817
9276173,979388,4438681,2729541
8725482,7506902,2729496,6736500
2566363,899056,309602,3227244
7901310,2972650,2352899,4804799
2546093,3406131,449434,4824332
2060251,8645359,5886327,7549108
9278839,3310236,5429457,807005
6343756,4100426,9604233,1146321
9234460,6202134,3477329,1492542
4799835,2194169,9937314,1304291
288954,3453982,5476730,9229554
5382510,4064272,8472471,8262273
6724309,7218979,9967715,3398127
4952164,4129737,6952849,1790975
4229240,5431816,8146658,5409182
4275390,5090730,2277893,6191914
4898355,6808226,8866012,3705216
3025045,2928739,1503198,5298259
2232695,5845334,3634650,8759759
4780194,1906415,6840655,7474183
6139388,7821409,1617520,8077817
2026262,9567629,658603,615316
7931997,3796109,4635894,1195528
1154789,1737816,481284,7148192
5330270,5610137,2167413,4680110
7463573,7523134,3989383,9030998
7460095,885686,6345748,7130308
156922,4311500,4019886,2753027
9853741,8025894,6961038,4176050
7344909,2771756,3565927,4334628
9449716,1215587,6459549,3478392
1044412,1854106,776939,4327652
9592713,5420338,4943818,9729670
2178076,3789974,3958503,2815106
5033761,1387409,5172607,9653648
5575054,9092051,6572599,4411202
6929976,645005,7560951,7005173
4970760,1554441,2237453,3261507
7844908,502723,5180207,7570320
8006719,3252122,9727293,8042692
6748294,9051303,8757810,4166542
1230915,9541585,7972994,6962881
4016106,163075,1677711,1642425
5097249,4060687,1061427,2761305
6430504,8491015,4979742,1877832
8966177,3728206,3235616,7708351
2180081,4469988,2360354,8783858
6104367,3744384,3895080,8605907
5859421,9315602,5171973,3303075
8684550,2590684,2595487,1787017
3469637,25156,7423447,8408887
2785966,7029731,4048706,8115733
7417833,4376695,779898,4106375
3393818,7105572,3122950,7987756
1517647,5929953,9562374,2431554
9399718,1143416,9842534,6329795
5988604,9025707,5748692,2451815
8601639,749595,4388320,7599814
2456864,3786124,3972496,5265779
2703665,5811806,2097068,787181
8954473,1114418,6523802,9003349
2316043,9499061,8461890,4412218
4920113,7695091,8348950,3825755
1955429,3261639,4132390,1526853
6198353,994189,2050551,6925209
5044640,1830842,9914026,4713967
40296,4258551,2887244,7525450
8912805,8219333,1768951,1087947
103033,1516654,3774138,1881399
9795312,8721194,5815069,7294136
1450089,2577974,282566,8279007
7833762,7911576,3326981,4509478
5551177,8033323,5639936,2035902
2076015,3646944,5735238,3441874
5282344,4254908,5730176,500545
5476045,2064933,9626787,9330530
9925724,8395878,4093292,8052774
9894284,2584494,1744923,6946106
169985,3390973,6925510,1103957
1097474,2905846,3988844,5590266
3109585,2955878,8079430,3096244
3758223,4010424,8414292,4096031
7245615,6587667,4063876,9503313
6455745,5160930,2233309,5827624
7485353,4564758,9043747,2830219
6675417,8901284,2813886,3680624
142309,2946661,9840462,7612853
5808826,6056774,2680511,5081715
7935988,8574127,931616,5418780
4153822,733803,4513822,6988935
4992620,4069401,9450728,9846499
5914464,5319944,6150755,891626
1844329,2835668,188187,1526083
4201171,5484284,5584492,7810088
429572,4057508,590009,3118441
6030477,5176980,5964418,3296321
9092993,7700742,5758782,4316058
7325273,1629504,596262,2433182
7585769,9512481,3453416,6842550
7914661,354497,7941756,4834935
2065065,6021081,9088798,9452811
6534007,145916,6619276,9647094
94283,9535989,736434,2933067
5824886,8078887,403198,546580
5643110,3148194,4123609,5100523
7335134,4510049,3224048,741171
4087669,5729579,7634226,5803913
6518897,8076913,4168848,7970146
7210068,6933566,7308363,1923150
7736483,698603,2480771,9504140
8198851,2194772,1842323,2369280
9254513,2575115,2559186,7144892
6648750,7728856,7588483,3084724
8245864,7187959,8959712,2225398
3560731,5533066,3555840,2043136
5789629,6299911,1394465,609856
6341946,8385597,6409267,4249349
1871158,4954867,9731313,7693722
3805985,4846132,5470160,6739525
382015,6477989,8994917,3403951
1172520,4255399,7715988,3581106
4120024,7475756,4365890,7198360
5067464,1735516,2780644,872665
9789319,2835914,6181043,3066363
8523112,3189745,7953994,1744052
3000393,727327,4933635,4528336
5977995,302739,3182527,1356449
3269655,7600128,6273024,9636056
8276732,5540195,6068608,1902217
9019973,3185961,6004915,5972652
7670378,7149299,6871122,7604947
2580623,5497345,5091214,5652264
2816171,4158382,3505128,9719609
5186746,5828309,4650072,320481
3777489,1376966,6541812,1532401
1980091,3754055,955942,6153901
7024093,4395816,4208828,3360505
7008370,2130998,439423,8860674
432080,4587088,7389858,7552629
8225804,2096824,4687413,8680054
8283437,4104081,4625055,3488763
2492776,8070432,5443159,5382553
6266879,881385,7110597,2579925
575781,2752192,9606006,3269885
6477014,3634734,3699132,3268514
2147674,2123388,4231747,6175020
2414883,6861255,5899337,6028158
787619,446773,1532175,2462331
3987615,5839312,2876358,8363764
8980844,5266219,3875429,27248
2508772,1628467,6451366,9811470
3119186,2407060,8785950,1296504
5698003,6069422,6102006,6938693
8500245,975652,3944522,8228089
2681394,6784370,3962044,8343981
4328328,8359617,2187934,7311393
8991018,2176648,9821423,9657258
8713609,5228092,6509318,4566864
1565578,6430684,6126605,8539682
3672865,531182,5058207,546256
3749571,4512449,2980031,9683589
128841,6500214,6140183,5332476
294123,7168907,3140461,9812643
2910591,3648074,3217224,3539934
2356352,5928461,7022931,2681791
5753528,5768572,9907360,9313998
2499807,8100609,7698798,4077007
6299277,4936981,4985214,1331637
9694126,1776290,5895594,6815747
1095724,6509693,7381264,7800580
4315480,827436,4997075,5746693
596867,4124468,1182580,1460354
3145929,9907322,6043269,2749711
4163063,4700181,632187,4581246
4373968,9450712,2730528,1735894
5060981,3437076,5129503,3965145
2594377,673414,6411279,3647615
5463452,8816513,4230298,5944996
3808073,572331,1094469,1458577
1449615,7601320,2646437,1385148
422358,6925803,8444922,5173565
8004673,9835342,5246037,681004
6250571,3293566,2784182,6828788
4020438,3843890,2053610,8759275
1512635,4016296,6089570,5491640
7294584,1233294,3249720,78221
7834313,9216063,2995027,2260743
9531295,1891252,4171328,3626813
3248048,9796277,5790472,5265898
1341016,8986676,311641,7925672
7192124,2441542,9422242,4668337
7240106,3969945,2319969,6026625
5511409,4617505,6492951,7660370
651679,1572360,1002066,512654
5456807,9571303,2261335,3465737
8904566,4806586,2319787,8497847
685608,1331414,9642305,8339160
8234354,9966604,2391336,6627944
6261138,9707115,4207393,566987
8782544,1627763,2491113,6079591
3653308,5289515,9183907,5466349
9596998,7646233,4049769,7560790
5737967,4450523,455876,386105
3631886,4159944,3654251,6310846
1797447,4343489,1563104,9705895
2747443,587749,8047656,7100218
2520120,7902952,8701920,9837086
2710312,4629767,9129479,9230672
5000741,8844796,5725022,4222026
8193298,7267532,8955364,1535326
7740301,6666097,9141035,8334196
7775617,7763748,4737252,7378206
5646076,1645170,3115156,4678651
8942545,8662334,3843234,9654991
5031482,9841429,4468506,7791379
3085770,788577,8797699,5792462
8616218,8095922,7678681,9239849
503040,8248682,2281483,2748559
526417,9030594,9879496,2622754
5398417,3430619,2131324,2012526
1294103,6048832,5861043,8569775
882418,2003178,6340405,4604858
2857832,8335115,3069537,9742215
3971477,7916516,8058208,6077360
3562347,5855362,6607467,5832461
588584,8402203,590464,1513086
3158627,4356587,4233743,8564029
562744,8972881,2398903,526201
7803838,367145,1363350,6691913
2629322,8422506,2101803,2262219
5061580,6196483,6067497,1002239
9429892,3826304,3473541,397961
8901440,4935591,4073866,9312213
2512488,5540617,444839,8141305
4699540,5456449,3766161,1470765
7330961,2203253,2102523,3231729
4237990,7412382,1184461,4357514
8245817,5733038,7689765,2939569
705334,6238006,5024970,6883700
3523674,6330266,1606131,9066565
3696204,8149079,1640361,4991748
337312,7476347,8407045,2945911
4211664,5142750,39334,6655212
9765725,934058,7804619,441706
9658869,9997215,6886862,6879023
1794560,1747196,9666922,6949405
8851406,1272254,1504440,2699343
315183,3241021,9018415,2395966
7008949,8308398,869437,8183417
8125417,2022013,1039812,6239202
757509,6227964,4615647,9430014
1929594,2977819,6067824,2468530
3129183,934213,33235,9568987
7337813,4277402,4595809,4604324
8562503,4111600,7068292,3761516
3866879,2370993,2273125,698461
7902285,8226021,3323579,4199863
9939459,6989940,4905378,8333774
3399485,1524660,9057685,5107719
7884831,6147057,3454572,9624698
3711243,3035652,2185867,7739953
8938235,1136278,9038762,6216724
8901035,7568616,3279210,5382765
8241320,1532702,7932496,4286549
5438721,714517,565371,8353436
9841899,192846,6566376,9542125
1200200,3845213,4928030,9000674
1694192,8254294,6527300,2222904
467657,9114102,4907340,6704368
658383,136246,9558414,2099199
8929511,4455873,1699579,2875638
7501067,8538572,2559262,3472825
8680667,8586163,4157197,5956781
1895296,9442957,2585340,176849
3222065,6002193,3789068,6421526
7419938,7112052,1848639,575448
2460836,1982234,9760140,1774779
6560519,9089729,2717299,2564149
7710441,7585744,3891882,1552580
5708577,1201323,2715759,8569687
6690730,4653725,5661641,2322345
162010,2553090,9524606,550247
8527589,808172,7203283,2682721
9124729,532851,5980926,4994826
8753288,4452321,8306850,8263534
707401,5809446,5077753,7924070
4306335,9770800,1418705,6726040
6926312,7333178,4964519,9889731
8531323,1729579,6641189,2762576
8704501,7335472,3946907,974914
6179380,1075522,6733260,3096707
871122,6329017,5486794,5793635
8407623,9336935,2109955,1483377
7161290,8107721,3202409,8491558
7779601,3823613,5842432,3708664
5216829,4746858,5868079,7745453
3265052,2626196,8658323,2590020
1585526,1602820,2414577,1763347
5239848,9616717,3941483,2976030
6721379,2313267,6928678,3284371
486349,9448647,2731840,6746558
9984844,3797175,3653702,4579109
7192849,2556554,8725647,7812799
4642590,1254785,1988971,2449352
9954229,156146,3275629,7117124
2867347,3167460,1490151,3228043
4771504,9244425,390435,7633138
738257,6297927,6869112,7779432
4051778,7599930,1735088,9365723
3240621,690230,2994167,6499123
1608588,8782098,1630934,4351091
9266052,4669382,9889531,4313824
7661561,7131805,2055491,1656534
6612523,9841913,7736065,5681498
3836855,2771119,7642503,2380676
6984018,6095617,1870630,9591415
8166517,6603255,682185,4653417
990983,6599309,7786237,4564194
89228,5312913,6120578,8635888
3149875,2803270,6132492,3651465
5449459,6365840,6560394,1520599
6883611,9438799,7714951,9436211
1498411,3009173,7260370,2530993
9521320,9518759,8495569,9032815
1893176,9271094,1135615,7921989
7298389,9337033,4592547,9086721
1697279,4961373,3757263,5979836
356419,3468871,7280189,774773
2380432,670725,8352922,2021864
7743073,9770540,7989244,4804775
6818583,2771158,806519,3396634
2412721,4379974,3306659,6416130
4294066,8416019,4657861,4484084
6225497,6715923,9975432,379398
5495249,540049,6103374,1695382
4948144,4478706,9895158,5996146
7516890,2858833,8995558,8472778
3253467,8649660,5121478,2099590
8859979,4869545,9843238,290147
9720483,8491585,2866237,2053857
4431794,6850502,2811509,9652051
1834767,6548402,497625,8754426
545748,4861314,4721495,1094974
987707,3645299,540029,9628178
9921442,5742734,50888,6185985
7477153,3888679,5674089,1633153
6685108,2116905,5933307,8523880
5507363,9666214,3736838,6258394
1368870,7387015,7158943,8738536
8188559,6646992,2721361,4524598
5911085,737839,1174109,9491058
2537470,8781070,5777042,1983467
8656596,2135001,3081196,473933
4476790,3300020,6209610,3717960
9356381,7325613,639113,3410577
3835722,5716382,2480995,9342337
4167705,2838129,9262747,7055985
9349531,4824214,3209275,8002213
653970,981996,7023603,2196380
3659991,7698641,2168927,3374311
2784862,4848006,9649067,6648970
8314738,4696204,3290575,8666508
5936405,3308338,5523040,262586
8768020,4454512,5661143,1618280
1890906,6016217,685504,9916846
9380144,8892492,8523802,9499868
3836712,8406258,3832660,4523189
8417729,8210435,6278021,4113306
1368651,6694320,1317183,23841
3053655,5889754,3479420,6791393
5487591,2877453,2147772,4392356
4366914,3693125,9839816,3398525
3600885,9733851,2989501,2633764
2342955,6664444,5227574,9330058
4521920,5823295,3163664,1784130
873344,8128973,4666957,4512949
3470471,486515,9647732,5910795
2755902,4693190,3338678,8405013
7072449,8845431,2075694,1112531
4694765,1244743,1579648,4995666
8360149,6803601,7737322,519089
2300327,5952495,9882927,7805281
1772104,6045480,6579100,9291551
5089095,5266777,3898170,4885737
8152832,9036865,6203495,9622478
1484037,8918937,9430785,3819964
9753487,4024941,6869291,5735459
3814131,4921789,7442875,6722199
5231308,37940,6491549,8885266
3314816,4569166,9052495,5238035
4649673,1885384,5641552,2358198
5127643,7436269,534193,5544166
4478342,5158138,2546857,6471436
3300521,6379613,8318373,3348643
2593314,1228357,8091145,3573787
5787474,2536883,3992229,8890624
3276772,2249241,814668,3045042
9448884,326979,9298712,1940815
2217236,6155380,1913505,6296319
5051445,2450071,1137462,6800734
1509412,1662708,240304,1770116
2267912,4887643,6563877,7303549
4654241,3268150,7303743,9939862
4677351,1902448,7790047,1813534
1559050,6250075,2269064,8310664
4765188,1038356,7184112,8226019
3537204,1668139,6957343,6418560
8922962,8120505,2270512,8967937
8308451,1363048,846320,830966
2448669,2255547,729833,5997276
4998876,2956893,6069567,146430
4546222,831005,5398961,5803229
9140552,4853013,2417321,9994779
3326089,4515818,9271132,4406344
7672085,1236034,2335749,8037368
804851,2260291,495875,2358372
3938167,7071628,5927390,8966433
7905254,6295748,7378574,9742223
2689729,3107057,5951102,9505640
9456547,7134978,3381407,1172404
5083986,870527,2821923,3409933
9194046,8571889,2122403,794185
3684488,7671536,9611011,6465289
4759375,2681754,2375987,7284337
7460872,1601120,7046096,1489262
2700322,4820867,3072835,8850985
6789211,6531115,8510834,3330335
3470984,8626987,8299819,8233358
8451663,7114991,5045354,3868474
6431717,1019187,2300261,7701942
636823,3787316,345909,7014772
4849192,7197414,4473382,4058528
7939173,7763798,5764923,3711701
896236,5643327,4374949,3636059
6359928,6041637,5311346,6932766
651893,3119553,6716831,7298785
8306191,6399075,650199,6682949
9101464,9669938,6367241,5442310
7591500,2395747,6102630,4998362
5136760,3619893,3350594,2993341
4435580,8372332,3646357,946397
6555455,6575649,7847453,4409843
464391,4451095,7915023,5625578
5061735,8425000,5194877,8681084
3710079,1535251,1198843,7165904
1265944,2336961,885976,4327685
3611227,6309302,8443858,5728507
9684539,9761514,5570058,4401275
6012503,6239193,2252881,8505698
3740637,5430354,52978,1484934
8164910,4571963,7884448,4721217
763167,2356049,296492,2692851
3725739,5335891,8253769,629885
6987418,6832480,2418802,4670566
7758315,8340551,8932078,4517753
2555189,3434997,7694309,8594825
1732550,4176855,3146980,1702348
6514143,19966,7553762,5173729
8524194,9216711,6782107,9532133
1818549,2725022,8584011,9646384
7415678,613667,3377662,2387242
328644,969215,7528252,6783449
9095372,1302065,9129772,6678548
7810969,2452664,6285879,5886589
658132,4997789,7891138,5848597
8938530,8156806,6912537,5788824
604751,1198011,6170483,5370968
2290442,7344441,6620167,9854378
3842505,180951,8132806,7750520
5351883,2559489,2776960,978929
6684908,8006120,599526,7523438
9514539,4627039,7907205,6588963
1851758,1514566,8047940,6257090
5076359,7653595,4691738,3642715
3468893,3328136,7612062,7550074
6241304,4026927,967395,3629331
2068631,6850216,4081886,2032364
6119793,9415825,4727262,7569307
9589333,1265483,4903626,2364969
1728457,7770643,9120820,1014544
4375938,6539560,5179869,8240274
